"Time (s) Run #1";"Temperature (°C) Run #1";"Pressure (kPa) Run #1"
20,750;23,9;113,4
20,800;23,9;113,2
20,850;23,8;113,1
20,900;23,5;112,9
20,950;23,1;112,8
21,000;22,7;112,7
21,050;22,3;112,6
21,100;22,0;112,4
21,150;21,7;112,3
21,200;21,5;112,2
21,250;21,2;112,1
21,300;20,8;112,0
21,350;20,5;111,9
21,400;20,2;111,8
21,450;19,9;111,6
21,500;19,6;111,5
21,550;19,3;111,4
21,600;19,1;111,3
21,650;18,8;111,2
21,700;18,5;111,2
21,750;18,2;111,0
21,800;17,9;110,9
21,850;17,6;110,9
21,900;17,3;110,8
21,950;17,1;110,7
22,000;16,8;110,6
22,050;16,6;110,5
22,100;16,5;110,4
22,150;16,4;110,3
22,200;16,3;110,3
22,250;16,2;110,2
22,300;16,1;110,1
22,350;16,1;110,1
22,400;16,1;110,0
22,450;16,0;109,9
22,500;16,1;109,8
22,550;16,1;109,8
22,600;16,1;109,7
22,650;16,1;109,7
22,700;16,2;109,6
22,750;16,2;109,5
22,800;16,3;109,5
22,850;16,4;109,4
22,900;16,4;109,4
22,950;16,5;109,4
23,000;16,6;109,3
23,050;16,7;109,3
23,100;16,8;109,2
23,150;16,8;109,2
23,200;16,9;109,2
23,250;17,0;109,1
23,300;17,1;109,1
23,350;17,2;109,1
23,400;17,3;109,0
23,450;17,4;109,0
23,500;17,5;109,0
23,550;17,6;109,0
23,600;17,7;109,0
23,650;17,8;108,9
23,700;17,9;108,9
23,750;18,0;108,9
23,800;18,1;108,9
23,850;18,2;108,9
23,900;18,3;108,9
23,950;18,4;108,9
24,000;18,6;108,9
24,050;18,7;108,9
24,100;18,7;108,9
24,150;18,9;108,9
24,200;18,9;108,9
24,250;19,1;108,8
24,300;19,2;108,8
24,350;19,2;108,8
24,400;19,4;108,8
24,450;19,4;108,8
24,500;19,5;108,8
24,550;19,6;108,8
24,600;19,7;108,8
24,650;19,8;108,8
24,700;19,9;108,8
24,750;20,0;108,8
24,800;20,1;108,8
24,850;20,2;108,8
24,900;20,3;108,8
24,950;20,4;108,8
25,000;20,5;108,8
25,050;20,6;108,8
25,100;20,6;108,8
25,150;20,7;108,8
25,200;20,8;108,8
25,250;20,9;108,8
25,300;21,0;108,8
25,350;21,1;108,8
25,400;21,2;108,8
25,450;21,2;108,8
25,500;21,3;108,8
25,550;21,4;108,8
25,600;21,5;108,8
25,650;21,6;108,8
25,700;21,6;108,8
25,750;21,7;108,8
25,800;21,8;108,8
25,850;21,9;108,8
25,900;21,9;108,8
25,950;22,0;108,8
26,000;22,1;108,8
26,050;22,2;108,8
26,100;22,2;108,8
26,150;22,3;108,8
26,200;22,4;108,8
26,250;22,4;108,8
26,300;22,5;108,8
26,350;22,6;108,8
26,400;22,6;108,8
26,450;22,7;108,8
26,500;22,7;108,8
26,550;22,8;108,8
26,600;22,9;108,8
26,650;22,9;108,8
26,700;23,0;108,8
26,750;23,0;108,8
26,800;23,1;108,8
26,850;23,1;108,8
26,900;23,2;108,8
26,950;23,3;108,8
27,000;23,3;108,8
27,050;23,4;108,8
27,100;23,4;108,8
27,150;23,5;108,8
27,200;23,5;108,8
27,250;23,6;108,8
27,300;23,6;108,8
27,350;23,6;108,8
27,400;23,7;108,8
27,450;23,7;108,8
27,500;23,8;108,8
27,550;23,8;108,8
27,600;23,9;108,8
27,650;23,9;108,8
27,700;23,9;108,8
27,750;24,0;108,8
27,800;24,0;108,8
27,850;24,1;108,8
27,900;24,1;108,8
27,950;24,1;108,8
28,000;24,2;108,8
28,050;24,2;108,8
28,100;24,2;108,8
28,150;24,3;108,8
28,200;24,3;108,8
28,250;24,3;108,8
28,300;24,4;108,8
28,350;24,4;108,8
28,400;24,4;108,8
28,450;24,4;108,8
28,500;24,5;108,8
28,550;24,5;108,8
28,600;24,5;108,8
28,650;24,6;108,8
28,700;24,6;108,8
28,750;24,6;108,8
28,800;24,6;108,8
28,850;24,7;108,8
28,900;24,7;108,8
28,950;24,7;108,8
29,000;24,7;108,8
29,050;24,8;108,8
29,100;24,8;108,8
29,150;24,8;108,8
29,200;24,8;108,8
29,250;24,8;108,8
29,300;24,8;108,8
29,350;24,9;108,8
29,400;24,9;108,8
29,450;24,9;108,8
29,500;24,9;108,8
29,550;24,9;108,8
29,600;25,0;108,8
29,650;25,0;108,8
29,700;25,0;108,8
29,750;25,0;108,8
29,800;25,0;108,8
29,850;25,0;108,8
29,900;25,1;108,8
29,950;25,1;108,8
30,000;25,1;108,8
30,050;25,1;108,8
30,100;25,1;108,8
30,150;25,1;108,8
30,200;25,1;108,8
30,250;25,2;108,8
30,300;25,2;108,8
30,350;25,2;108,8
30,400;25,2;108,8
30,450;25,2;108,8
30,500;25,2;108,8
30,550;25,2;108,8
30,600;25,2;108,8
30,650;25,2;108,8
30,700;25,3;108,8
30,750;25,3;108,8
30,800;25,3;108,8
30,850;25,3;108,8
30,900;25,3;108,8
30,950;25,3;108,8
31,000;25,3;108,8
31,050;25,3;108,8
31,100;25,3;108,8
31,150;25,3;108,8
31,200;25,4;108,8
31,250;25,4;108,7
31,300;25,4;108,8
31,350;25,4;108,8
31,400;25,4;108,8
31,450;25,4;108,7
31,500;25,4;108,7
31,550;25,4;108,8
31,600;25,4;108,7
31,650;25,4;108,7
31,700;25,4;108,7
31,750;25,4;108,7
31,800;25,5;108,7
31,850;25,5;108,7
31,900;25,5;108,7
31,950;25,5;108,7
32,000;25,5;108,8
32,050;25,5;108,7
32,100;25,5;108,7
32,150;25,5;108,7
32,200;25,5;108,7
32,250;25,5;108,7
32,300;25,5;108,7
32,350;25,5;108,7
32,400;25,5;108,7
32,450;25,5;108,7
32,500;25,5;108,7
32,550;25,5;108,7
32,600;25,5;108,7
32,650;25,5;108,7
32,700;25,6;108,7
32,750;25,6;108,7
32,800;25,6;108,7
32,850;25,6;108,7
32,900;25,6;
32,950;25,6;
33,000;25,6;
33,050;25,6;
33,100;25,6;
33,150;25,6;
33,200;25,6;
33,250;25,6;
33,300;25,6;
33,350;25,6;
33,400;25,6;
33,450;25,6;
33,500;25,6;
33,550;25,6;
33,600;25,6;
33,650;25,6;
33,700;25,6;
33,750;25,6;
33,800;25,6;
33,850;25,6;
33,900;25,6;
33,950;25,6;
34,000;25,6;
34,050;25,6;
34,100;25,6;
34,150;25,6;
34,200;25,6;
34,250;25,6;
34,300;25,6;
34,350;25,6;
34,400;25,7;
34,450;25,7;
34,500;25,7;
34,550;25,7;
34,600;25,7;
34,650;25,7;
34,700;25,7;
34,750;25,7;
34,800;25,7;
34,850;25,7;
34,900;25,7;
34,950;25,7;
